Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
basefoot_link,-0.00539581685034137,-0.000957864068210713,0.0474591208308904,0,0,0,1.64299975702237,0.00738471504042429,-1.47345595730443E-09,1.51530980773557E-06,0.00353729752937802,3.47804643827457E-19,0.00992762200745289,0,0,0,0,0,0,package://rv2/meshes/basefoot_link.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://rv2/meshes/basefoot_link.STL,,tru_dong-4;tru_dong-2;jig_ga25-2;jig_ga25-3;tru_dong-3;jig_ga25-4;DC-Motor-3;DC-Motor-2;DC-Motor-4;base2-1;jig_ga25-1;DC-Motor-1;arm-base-1;base-1;tru_dong-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_Link,-1.65882932390282E-17,0.0474591208308905,-1.11141265973676E-05,0,0,0,1.64299975702237,0.00353729752937802,-4.26421650961895E-20,-1.47345595730527E-09,0.00992762200745289,1.51530980773557E-06,0.00738471504042429,0,0,0,0,0,0,package://rv2/meshes/base_Link.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://rv2/meshes/base_Link.STL,,tru_dong-4;tru_dong-2;jig_ga25-2;jig_ga25-3;tru_dong-3;jig_ga25-4;DC-Motor-3;DC-Motor-2;DC-Motor-4;base2-1;jig_ga25-1;DC-Motor-1;arm-base-1;base-1;tru_dong-1,base,Axis_base_joint,base_joint,fixed,-0.005384702723744,-0.0009578640682107,0,1.5707963267949,0,1.5707963267949,basefoot_link,0,0,0,,,,,,,,,,,,
banhsau_1,0,1.04083408558608E-17,-0.015337959883782,0,0,0,0.0897458773350996,2.80351440120925E-05,-2.66968019057515E-21,3.13191575288549E-21,2.80351440120925E-05,-7.91433372861024E-21,4.0241296472344E-05,0,0,0,0,0,0,package://rv2/meshes/banhsau_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rv2/meshes/banhsau_1.STL,,mecanum-4,banh_sau_1,truc_sau,banhsau_1_joint,continuous,0.092,-0.02,0.1355,0,0,0,base_Link,0,0,1,,,,,,,,,,,,
banhsau_2,0,3.46944695195361E-18,0.015337959883782,0,0,0,0.0897458773350996,2.80351440120925E-05,-2.06051724562725E-21,-1.42111962690463E-21,2.80351440120925E-05,2.33396633651408E-21,4.0241296472344E-05,0,0,0,0,0,0,package://rv2/meshes/banhsau_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rv2/meshes/banhsau_2.STL,,mecanum-2,banh_sau_2,truc_sau,banhsau_2_joint,continuous,0.092,-0.02,-0.1355,0,0,0,base_Link,0,0,1,,,,,,,,,,,,
banhtruoc_1,0,-1.04083408558608E-17,-0.015337959883782,0,0,0,0.0897458773350996,2.80351440120926E-05,-1.76268833499102E-21,2.21194478308756E-21,2.80351440120926E-05,5.06506035369877E-21,4.0241296472344E-05,0,0,0,0,0,0,package://rv2/meshes/banhtruoc_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rv2/meshes/banhtruoc_1.STL,,mecanum-1,banh_truoc_1,truc_truoc,banhtruoc_1_joint,continuous,-0.092,-0.02,0.1355,0,0,3.14159265358979,base_Link,0,0,1,,,,,,,,,,,,
banhtruoc_2,1.38777878078145E-17,-6.93889390390723E-18,0.015337959883782,0,0,0,0.0897458773350996,2.80351440120925E-05,6.71564532166878E-21,6.50437056486356E-21,2.80351440120925E-05,-2.97743717054649E-21,4.0241296472344E-05,0,0,0,0,0,0,package://rv2/meshes/banhtruoc_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rv2/meshes/banhtruoc_2.STL,,mecanum-3,banh_truoc_2,truc_truoc,banhtruoc_2_joint,continuous,-0.0920000000000001,-0.02,-0.1355,0,0,0,base_Link,0,0,1,,,,,,,,,,,,
lidar,0,-0.0183354165859493,2.60208521396521E-18,0,0,0,0.0435563882569202,8.68395865003928E-06,-2.92518638354121E-22,3.65253338425326E-22,9.44162289762107E-06,6.64536949757053E-23,8.68395865003928E-06,0,0,0,0,0,0,package://rv2/meshes/lidar.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://rv2/meshes/lidar.STL,,lidar-1,lidar,Axis_lidar,lidar_joint,continuous,-0.101,0.094,0,3.14159265358979,0,3.14159265358979,base_Link,0,-1,0,,,,,,,,,,,,
arm1,-1.73472347597681E-17,0.0919467016593536,-0.00766222513827948,0,0,0,0.108931691252428,0.000394337237147341,2.80794939093371E-20,2.27277623726181E-22,1.30564756978163E-05,1.5560302229512E-06,0.000402784364172553,0,0,0,0,0,0,package://rv2/meshes/arm1.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://rv2/meshes/arm1.STL,,arm-f1-1,arm_f1,truc_arm1,arm1_joint,revolute,0,0.1785,-0.023,-3.14159265358979,0,3.14159265358979,base_Link,0,0,-1,0,0,0,0,,,,,,,,
arm2,0.0697356921651734,1.19262238973405E-18,-0.0075,0,0,0,0.0852535940073319,1.01866931413697E-05,-3.40380647959353E-22,-5.19418324714491E-22,0.000195326473077884,1.28884533254216E-24,0.000202316156443979,0,0,0,0,0,0,package://rv2/meshes/arm2.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://rv2/meshes/arm2.STL,,arm-f2-1,arm_f2,truc_arm2,arm2_joint,revolute,0,0.18,-0.015,0,0,1.5707963267949,arm1,0,0,-1,0,0,0,0,,,,,,,,
arm_ef,0.00111702127659574,3.25260651745651E-19,-0.00243794326241134,0,0,0,0.017625,5.01008837544325E-06,1.62226861957359E-22,-1.01479388297872E-06,1.23818470190603E-05,2.61315289173353E-23,7.66550864361701E-06,0,0,0,0,0,0,package://rv2/meshes/arm_ef.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://rv2/meshes/arm_ef.STL,,arm-ef-1,arm_ef,Axis_arm_ef_fix,arm_ef_fix,fixed,0.17,0,-0.00750000000000001,0,0,0,arm2,0,0,0,,,,,,,,,,,,
